miRNA, /usr/local/miRge/miRge.samples/human_s1.fastq, /usr/local/miRge/miRge.samples/human_s2.fastq
hsa-let-7a-2-3p, 0, 0
hsa-let-7a-3p, 0, 169.266038699562
hsa-let-7a-5p/7c-5p, 10367.9824314432, 80701.2959245489
hsa-let-7b-3p, 0, 347.440816278048
hsa-let-7b-5p, 1083.95743003547, 15492.2969104494
hsa-let-7c-3p, 0, 0
hsa-let-7d-3p, 91.5028999380596, 124.72234430494
hsa-let-7d-5p, 520.862661185878, 887.904308266122
hsa-let-7e-3p, 0, 20.7870573841567
hsa-let-7e-5p, 35.1934230530998, 6191.57352085239
hsa-let-7f-1-3p, 0, 0
hsa-let-7f-2-3p, 0, 0
hsa-let-7f-5p, 22889.8023537361, 41995.7950752491
hsa-let-7g-3p, 0, 11.8783185052324
hsa-let-7g-5p, 3575.65178219494, 3809.97066055329
hsa-let-7i-3p, 0, 14.8478981315405
hsa-let-7i-5p, 2386.11408300017, 21713.5662275648
hsa-miR-1-3p, 0, 0
hsa-miR-1-5p, 0, 0
hsa-miR-100-3p, 0, 276.170905246653
hsa-miR-100-5p, 0, 13372.0170572654
hsa-miR-101-3p, 971.338476265556, 1285.82797819141
hsa-miR-101-5p, 14.0773692212399, 0
hsa-miR-103a-2-5p, 0, 0
hsa-miR-105-3p, 0, 0
hsa-miR-106a-3p, 0, 0
hsa-miR-106b-3p, 42.2321076637198, 175.205197952178
hsa-miR-106b-5p, 63.3481614955797, 83.1482295366268
hsa-miR-107/103a-3p/103b, 1830.05799876119, 1576.8467815696
hsa-miR-10a-3p, 35.1934230530998, 0
hsa-miR-10a-5p, 57182.2737766766, 16409.8970149786
hsa-miR-10b-3p, 21.1160538318599, 32.6653758893891
hsa-miR-10b-5p, 43027.4790247199, 114771.282977182
hsa-miR-1178-3p, 0, 0
hsa-miR-1178-5p, 0, 0
hsa-miR-1179, 0, 0
hsa-miR-1180-3p, 0, 23.7566370104648
hsa-miR-1180-5p, 0, 0
hsa-miR-1181, 0, 0
hsa-miR-1182, 0, 0
hsa-miR-1183, 0, 0
hsa-miR-1184, 0, 0
hsa-miR-1185-1-3p, 0, 20.7870573841567
hsa-miR-1185-2-3p, 0, 0
hsa-miR-1185-5p, 0, 14.8478981315405
hsa-miR-1193, 0, 0
hsa-miR-1197, 0, 0
hsa-miR-1199-3p, 0, 0
hsa-miR-1199-5p, 0, 0
hsa-miR-1200, 0, 0
hsa-miR-1202, 0, 0
hsa-miR-1203, 0, 0
hsa-miR-1204, 0, 0
hsa-miR-1205, 0, 0
hsa-miR-1206, 0, 0
hsa-miR-1207-3p, 0, 0
hsa-miR-1207-5p, 0, 0
hsa-miR-1208, 0, 0
hsa-miR-122-3p, 0, 0
hsa-miR-122-5p, 0, 0
hsa-miR-1224-3p, 0, 0
hsa-miR-1224-5p, 0, 0
hsa-miR-1225-3p, 0, 0
hsa-miR-1225-5p, 0, 0
hsa-miR-1226-3p, 0, 0
hsa-miR-1226-5p, 0, 0
hsa-miR-1227-3p, 0, 0
hsa-miR-1227-5p, 0, 0
hsa-miR-1228-3p, 0, 0
hsa-miR-1228-5p, 0, 0
hsa-miR-1229-3p, 0, 0
hsa-miR-1229-5p, 0, 0
hsa-miR-1231, 0, 0
hsa-miR-1233-3p, 0, 0
hsa-miR-1233-5p, 0, 0
hsa-miR-1234-3p, 0, 0
hsa-miR-1236-3p, 0, 0
hsa-miR-1236-5p, 0, 0
hsa-miR-1237-3p, 0, 0
hsa-miR-1237-5p, 0, 0
hsa-miR-1238-3p, 0, 0
hsa-miR-1238-5p, 0, 0
hsa-miR-124-3p, 0, 0
hsa-miR-124-5p, 0, 0
hsa-miR-1243, 0, 0
hsa-miR-1244, 0, 0
hsa-miR-1245a, 0, 0
hsa-miR-1245b-3p, 0, 0
hsa-miR-1245b-5p, 0, 0
hsa-miR-1246, 0, 0
hsa-miR-1247-3p, 0, 0
hsa-miR-1247-5p, 0, 0
hsa-miR-1248, 42.2321076637198, 0
hsa-miR-1249-3p, 0, 0
hsa-miR-1249-5p, 0, 0
hsa-miR-1250-3p, 0, 0
hsa-miR-1250-5p, 0, 0
hsa-miR-1251-3p, 0, 0
hsa-miR-1251-5p, 0, 0
hsa-miR-1252-3p, 0, 0
hsa-miR-1252-5p, 0, 0
hsa-miR-1253, 0, 0
hsa-miR-1254, 0, 11.8783185052324
hsa-miR-1255a, 0, 17.8174777578486
hsa-miR-1255b-5p, 0, 0
hsa-miR-1256, 0, 0
hsa-miR-1257, 0, 0
hsa-miR-1258, 0, 0
hsa-miR-125a-3p, 0, 59.391592526162
hsa-miR-125a-5p, 49.2707922743398, 5000.77209070284
hsa-miR-125b-1-3p, 0, 2025.25330514212
hsa-miR-125b-2-3p, 0, 276.170905246653
hsa-miR-125b-5p, 0, 7453.64486203333
hsa-miR-126-3p, 49.2707922743398, 11.8783185052324
hsa-miR-126-5p, 98.5415845486795, 121.752764678632
hsa-miR-1260a, 0, 0
hsa-miR-1260b, 0, 234.59679047834
hsa-miR-1261, 0, 0
hsa-miR-1262, 0, 0
hsa-miR-1263, 0, 0
hsa-miR-1264, 0, 0
hsa-miR-1265, 0, 0
hsa-miR-1266-3p, 0, 0
hsa-miR-1266-5p, 0, 0
hsa-miR-1267, 0, 0
hsa-miR-1268a, 0, 0
hsa-miR-1268b, 0, 41.5741147683134
hsa-miR-1269a, 0, 0
hsa-miR-1269b, 0, 0
hsa-miR-127-3p, 35.1934230530998, 20769.2399063988
hsa-miR-127-5p, 0, 62.3611721524701
hsa-miR-1270, 0, 0
hsa-miR-1271-3p, 0, 0
hsa-miR-1271-5p, 0, 11.8783185052324
hsa-miR-1272, 0, 0
hsa-miR-1273a, 0, 0
hsa-miR-1273c, 0, 0
hsa-miR-1273d, 0, 0
hsa-miR-1273e, 0, 0
hsa-miR-1273f, 14.0773692212399, 0
hsa-miR-1273g-3p, 28.1547384424799, 0
hsa-miR-1273g-5p, 0, 0
hsa-miR-1273h-3p, 0, 0
hsa-miR-1273h-5p, 0, 0
hsa-miR-1275, 77.4255307168196, 44.5436943946215
hsa-miR-1276, 0, 0
hsa-miR-1277-3p, 0, 0
hsa-miR-1277-5p, 0, 0
hsa-miR-1278, 0, 0
hsa-miR-1279, 0, 0
hsa-miR-128-1-5p, 0, 32.6653758893891
hsa-miR-128-2-5p, 0, 0
hsa-miR-128-3p, 154.851061433639, 305.866701509734
hsa-miR-1281, 0, 0
hsa-miR-1282, 0, 0
hsa-miR-1283, 0, 0
hsa-miR-1284, 0, 0
hsa-miR-1285-3p, 0, 50.4828536472377
hsa-miR-1286, 0, 0
hsa-miR-1287-3p, 0, 0
hsa-miR-1287-5p, 0, 0
hsa-miR-1288-3p, 0, 0
hsa-miR-1288-5p, 0, 0
hsa-miR-1289, 0, 0
hsa-miR-129-1-3p, 0, 0
hsa-miR-129-2-3p, 0, 0
hsa-miR-129-5p, 0, 20.7870573841567
hsa-miR-1290, 0, 0
hsa-miR-1291, 0, 0
hsa-miR-1292-3p, 0, 0
hsa-miR-1292-5p, 0, 0
hsa-miR-1293, 0, 0
hsa-miR-1294, 0, 0
hsa-miR-1295a, 0, 0
hsa-miR-1295b-3p, 0, 0
hsa-miR-1296-3p, 0, 0
hsa-miR-1296-5p, 21.1160538318599, 95.0265480418592
hsa-miR-1297, 0, 0
hsa-miR-1298-3p, 0, 0
hsa-miR-1298-5p, 0, 0
hsa-miR-1299, 0, 0
hsa-miR-1301-3p, 0, 0
hsa-miR-1301-5p, 0, 0
hsa-miR-1302, 0, 0
hsa-miR-1303, 0, 0
hsa-miR-1304-3p, 0, 0
hsa-miR-1304-5p, 0, 0
hsa-miR-1305, 0, 29.695796263081
hsa-miR-1306-3p, 0, 0
hsa-miR-1306-5p, 0, 0
hsa-miR-1307-3p, 112.618953769919, 148.478981315405
hsa-miR-1307-5p, 380.088968973478, 282.110064499269
hsa-miR-130a-3p, 0, 721.607849192868
hsa-miR-130a-5p, 0, 0
hsa-miR-130b-3p, 204.121853707979, 338.532077399123
hsa-miR-130b-5p, 14.0773692212399, 680.033734424555
hsa-miR-132-3p, 0, 187.08351645741
hsa-miR-132-5p, 0, 35.6349555156972
hsa-miR-1321, 0, 0
hsa-miR-1322, 0, 0
hsa-miR-1323, 0, 0
hsa-miR-1324, 0, 0
hsa-miR-133a-3p, 0, 0
hsa-miR-133a-5p, 0, 0
hsa-miR-133b, 0, 0
hsa-miR-134-3p, 0, 0
hsa-miR-134-5p, 0, 151.448560941713
hsa-miR-1343-3p, 0, 0
hsa-miR-1343-5p, 0, 0
hsa-miR-135a-3p, 0, 0
hsa-miR-135a-5p, 0, 0
hsa-miR-135b-3p, 0, 0
hsa-miR-135b-5p, 0, 0
hsa-miR-136-3p, 0, 754.273225082257
hsa-miR-136-5p, 0, 106.904866547092
hsa-miR-137, 0, 50.4828536472377
hsa-miR-138-1-3p, 0, 299.927542257118
hsa-miR-138-2-3p, 0, 0
hsa-miR-138-5p, 0, 742.394906577025
hsa-miR-139-3p, 0, 0
hsa-miR-139-5p, 0, 0
hsa-miR-140-3p, 190.044484486739, 899.782626771354
hsa-miR-140-5p, 0, 38.6045351420053
hsa-miR-141-3p, 14837.5471591869, 8.9087388789243
hsa-miR-141-5p, 140.773692212399, 0
hsa-miR-142-3p, 14.0773692212399, 0
hsa-miR-142-5p, 154.851061433639, 5.9391592526162
hsa-miR-143-3p, 1935.63826792049, 66521.5532089277
hsa-miR-143-5p, 0, 32.6653758893891
hsa-miR-144-3p, 0, 0
hsa-miR-144-5p, 0, 0
hsa-miR-145-3p, 0, 172.23561832587
hsa-miR-145-5p, 0, 178.174777578486
hsa-miR-1468-3p, 0, 0
hsa-miR-1468-5p, 42.2321076637198, 20.7870573841567
hsa-miR-1469, 0, 0
hsa-miR-146a-3p, 0, 0
hsa-miR-146a-5p, 309.702122867279, 2152.94522907337
hsa-miR-146b-3p, 0, 0
hsa-miR-146b-5p, 309.702122867279, 424.649886562058
hsa-miR-1470, 0, 0
hsa-miR-1471, 0, 0
hsa-miR-147a, 0, 0
hsa-miR-147b, 183.005799876119, 23.7566370104648
hsa-miR-148a-3p, 23389.5489610902, 8172.28313159989
hsa-miR-148a-5p, 154.851061433639, 103.935286920783
hsa-miR-148b-3p, 464.553184300918, 1268.01050043356
hsa-miR-148b-5p, 35.1934230530998, 77.2090702840106
hsa-miR-149-3p, 0, 0
hsa-miR-149-5p, 0, 74.2394906577025
hsa-miR-150-3p, 0, 0
hsa-miR-150-5p, 28.1547384424799, 0
hsa-miR-151a-3p, 3118.13728250465, 7281.40924370746
hsa-miR-151b/151a-5p, 1414.77560673461, 3495.19522016463
hsa-miR-152-3p, 0, 1072.01824509722
hsa-miR-152-5p, 0, 74.2394906577025
hsa-miR-153-3p, 28.1547384424799, 11.8783185052324
hsa-miR-153-5p, 0, 0
hsa-miR-1537-3p, 0, 0
hsa-miR-1537-5p, 0, 0
hsa-miR-1538, 0, 0
hsa-miR-1539, 0, 0
hsa-miR-154-3p, 0, 8.9087388789243
hsa-miR-154-5p, 0, 14.8478981315405
hsa-miR-155-3p, 0, 0
hsa-miR-155-5p, 35.1934230530998, 846.330193497808
hsa-miR-1587, 0, 0
hsa-miR-15a-3p, 0, 0
hsa-miR-15a-5p, 323.779492088519, 201.931414588951
hsa-miR-15b-3p, 0, 0
hsa-miR-15b-5p, 98.5415845486795, 166.296459073254
hsa-miR-16-1-3p, 0, 0
hsa-miR-16-2-3p, 14.0773692212399, 80.1786499103187
hsa-miR-16-5p, 6053.26876513317, 7815.93357644292
hsa-miR-17-3p, 0, 14.8478981315405
hsa-miR-17-5p/106a-5p, 126.696322991159, 50.4828536472377
hsa-miR-181a-2-3p, 140.773692212399, 273.201325620345
hsa-miR-181a-3p, 0, 329.623338520199
hsa-miR-181a-5p, 6785.29196463765, 21208.7376910925
hsa-miR-181b-2-3p, 0, 0
hsa-miR-181b-3p, 0, 0
hsa-miR-181b-5p, 492.707922743398, 3189.3285186549
hsa-miR-181c-3p, 21.1160538318599, 246.475108983572
hsa-miR-181c-5p, 168.928430654879, 504.828536472377
hsa-miR-181d-3p, 0, 0
hsa-miR-181d-5p, 0, 154.418140568021
hsa-miR-182-3p, 0, 0
hsa-miR-182-5p, 5750.60532687651, 38.6045351420053
hsa-miR-1825, 0, 0
hsa-miR-1827, 0, 0
hsa-miR-183-3p, 0, 0
hsa-miR-183-5p, 281.547384424799, 17.8174777578486
hsa-miR-184, 0, 0
hsa-miR-185-3p, 0, 8.9087388789243
hsa-miR-185-5p, 0, 29.695796263081
hsa-miR-186-3p, 0, 0
hsa-miR-186-5p, 3097.02122867279, 2821.10064499269
hsa-miR-187-3p, 0, 0
hsa-miR-187-5p, 0, 0
hsa-miR-188-3p, 0, 0
hsa-miR-188-5p, 0, 14.8478981315405
hsa-miR-18a-3p, 0, 0
hsa-miR-18a-5p, 0, 0
hsa-miR-18b-3p, 0, 0
hsa-miR-18b-5p, 0, 0
hsa-miR-1908-3p, 0, 0
hsa-miR-1908-5p, 0, 0
hsa-miR-1909-3p, 0, 0
hsa-miR-1909-5p, 0, 0
hsa-miR-190a-3p, 0, 0
hsa-miR-190a-5p, 35.1934230530998, 53.4524332735458
hsa-miR-190b, 0, 0
hsa-miR-191-3p, 0, 133.631083183864
hsa-miR-191-5p, 14098.4852750718, 15032.0120683716
hsa-miR-1910-3p, 0, 0
hsa-miR-1910-5p, 0, 0
hsa-miR-1911-3p, 0, 0
hsa-miR-1911-5p, 0, 0
hsa-miR-1912, 0, 0
hsa-miR-1913, 0, 0
hsa-miR-1914-3p, 0, 0
hsa-miR-1914-5p, 0, 0
hsa-miR-1915-3p, 0, 0
hsa-miR-1915-5p, 0, 0
hsa-miR-192-3p, 28.1547384424799, 0
hsa-miR-193a-3p, 21.1160538318599, 74.2394906577025
hsa-miR-193a-5p, 0, 323.684179267583
hsa-miR-193b-3p, 21.1160538318599, 258.353427488805
hsa-miR-193b-5p, 0, 17.8174777578486
hsa-miR-194-3p, 28.1547384424799, 0
hsa-miR-194-5p, 15428.796666479, 23.7566370104648
hsa-miR-195-3p, 0, 0
hsa-miR-195-5p, 0, 92.0569684155511
hsa-miR-196a-3p, 0, 26.7262166367729
hsa-miR-196a-5p, 739.061884115097, 178.174777578486
hsa-miR-196b-3p, 0, 8.9087388789243
hsa-miR-196b-5p, 703.868461061997, 454.345682825139
hsa-miR-197-3p, 190.044484486739, 228.657631225724
hsa-miR-197-5p, 0, 0
hsa-miR-1972, 0, 0
hsa-miR-1973, 0, 0
hsa-miR-1976, 0, 0
hsa-miR-198, 0, 0
hsa-miR-199a-3p, 56.3094768849597, 23406.2266145604
hsa-miR-199a-5p, 0, 2256.88051599416
hsa-miR-199b-3p, 0, 2568.68637675651
hsa-miR-199b-5p, 0, 2158.88438832599
hsa-miR-19a-3p, 140.773692212399, 26.7262166367729
hsa-miR-19a-5p, 0, 0
hsa-miR-19b-1-5p, 0, 0
hsa-miR-19b-2-5p, 0, 0
hsa-miR-19b-3p, 549.017399628357, 89.087388789243
hsa-miR-200a-3p, 2294.61118306211, 0
hsa-miR-200a-5p, 190.044484486739, 0
hsa-miR-200b-3p, 12908.947575877, 0
hsa-miR-200b-5p, 147.812376823019, 0
hsa-miR-200c-3p, 2885.86069035419, 0
hsa-miR-200c-5p, 0, 0
hsa-miR-202-3p, 0, 0
hsa-miR-202-5p, 0, 0
hsa-miR-203a-3p, 1942.67695253111, 0
hsa-miR-203a-5p, 0, 0
hsa-miR-203a/203b-5p, 0, 0
hsa-miR-203b-3p, 0, 0
hsa-miR-204-3p, 0, 0
hsa-miR-204-5p, 49.2707922743398, 11.8783185052324
hsa-miR-205-3p, 0, 0
hsa-miR-205-5p, 0, 0
hsa-miR-2052, 0, 0
hsa-miR-2053, 0, 0
hsa-miR-2054, 0, 0
hsa-miR-206, 0, 0
hsa-miR-208a-3p, 0, 0
hsa-miR-208a-5p, 0, 0
hsa-miR-208b-3p, 0, 0
hsa-miR-208b-5p, 0, 0
hsa-miR-20a-3p, 0, 8.9087388789243
hsa-miR-20a-5p, 84.4642153274396, 38.6045351420053
hsa-miR-20b-3p, 0, 0
hsa-miR-20b-5p, 0, 0
hsa-miR-21-3p, 746.100568725717, 3676.33957736943
hsa-miR-21-5p, 30935.0188636748, 77529.7848836519
hsa-miR-210-3p, 218.199222929219, 246.475108983572
hsa-miR-210-5p, 0, 5.9391592526162
hsa-miR-211-3p, 0, 0
hsa-miR-211-5p, 0, 0
hsa-miR-2110, 0, 0
hsa-miR-2113, 0, 0
hsa-miR-2114-3p, 0, 0
hsa-miR-2114-5p, 0, 0
hsa-miR-2115-3p, 0, 0
hsa-miR-2115-5p, 0, 0
hsa-miR-2116-3p, 0, 11.8783185052324
hsa-miR-2116-5p, 0, 0
hsa-miR-2117, 0, 0
hsa-miR-212-3p, 0, 5.9391592526162
hsa-miR-212-5p, 0, 0
hsa-miR-214-3p, 0, 332.592918146507
hsa-miR-214-5p, 0, 157.387720194329
hsa-miR-215-3p, 70.3868461061997, 0
hsa-miR-215-5p/192-5p, 511761.641984346, 683.003314050863
hsa-miR-216a-3p, 0, 0
hsa-miR-216a-5p, 0, 0
hsa-miR-216b-3p, 0, 0
hsa-miR-216b-5p, 0, 0
hsa-miR-217, 0, 0
hsa-miR-218-1-3p, 0, 0
hsa-miR-218-2-3p, 0, 0
hsa-miR-218-5p, 0, 103.935286920783
hsa-miR-219a-1-3p, 0, 0
hsa-miR-219a-2-3p, 0, 0
hsa-miR-219a-5p, 0, 0
hsa-miR-219b-3p, 0, 0
hsa-miR-219b-5p, 0, 0
hsa-miR-22-3p, 20003.9416633819, 118106.120897526
hsa-miR-22-5p, 35.1934230530998, 44.5436943946215
hsa-miR-221-3p, 520.862661185878, 9841.18688158504
hsa-miR-221-5p, 0, 296.95796263081
hsa-miR-222-3p, 429.359761247818, 39391.4737429769
hsa-miR-222-5p, 14.0773692212399, 133.631083183864
hsa-miR-223-3p, 0, 0
hsa-miR-223-5p, 0, 0
hsa-miR-224-3p, 0, 14.8478981315405
hsa-miR-224-5p, 28.1547384424799, 341.501657025431
hsa-miR-2276-3p, 0, 0
hsa-miR-2276-5p, 0, 0
hsa-miR-2277-3p, 0, 0
hsa-miR-2277-5p, 0, 14.8478981315405
hsa-miR-2278, 0, 0
hsa-miR-2355-3p, 0, 0
hsa-miR-2355-5p, 0, 32.6653758893891
hsa-miR-2392, 0, 0
hsa-miR-23a-3p, 260.431330592939, 1728.29534251131
hsa-miR-23a-5p, 0, 97.9961276681673
hsa-miR-23b-3p, 450.475815079678, 1618.42089633791
hsa-miR-23b-5p, 0, 0
hsa-miR-23c, 0, 0
hsa-miR-24-1-5p, 0, 0
hsa-miR-24-2-5p, 21.1160538318599, 109.8744461734
hsa-miR-24-3p, 140.773692212399, 715.668689940252
hsa-miR-2467-3p, 0, 0
hsa-miR-2467-5p, 0, 0
hsa-miR-25-3p, 1752.63246804437, 2337.05916590447
hsa-miR-25-5p, 0, 44.5436943946215
hsa-miR-2681-3p, 0, 0
hsa-miR-2681-5p, 0, 0
hsa-miR-2682-3p, 0, 0
hsa-miR-2682-5p, 0, 26.7262166367729
hsa-miR-26a-1-3p, 0, 5.9391592526162
hsa-miR-26a-2-3p, 0, 14.8478981315405
hsa-miR-26a-5p, 32244.2142012501, 30776.7232470571
hsa-miR-26b-3p, 0, 29.695796263081
hsa-miR-26b-5p, 2583.19725209753, 3046.78869659211
hsa-miR-27a-3p/27b-3p, 13225.6883833549, 62055.3054509604
hsa-miR-27a-5p, 28.1547384424799, 118.783185052324
hsa-miR-27b-5p, 14.0773692212399, 207.870573841567
hsa-miR-28-3p, 7644.01148713328, 6188.60394122608
hsa-miR-28-5p, 661.636353398277, 573.128867877463
hsa-miR-2861, 0, 0
hsa-miR-2909, 0, 0
hsa-miR-296-3p, 0, 23.7566370104648
hsa-miR-296-5p, 0, 0
hsa-miR-297, 0, 0
hsa-miR-298, 0, 0
hsa-miR-299-3p, 0, 71.2699110313944
hsa-miR-299-5p, 0, 0
hsa-miR-29a-3p, 816.487414831916, 5499.6614679226
hsa-miR-29a-5p, 0, 35.6349555156972
hsa-miR-29b-1-5p, 0, 47.5132740209296
hsa-miR-29b-2-5p, 0, 0
hsa-miR-29b-3p, 0, 163.326879446945
hsa-miR-29c-3p, 133.735007601779, 80.1786499103187
hsa-miR-29c-5p, 0, 0
hsa-miR-300, 0, 0
hsa-miR-301a-3p, 98.5415845486795, 178.174777578486
hsa-miR-301a-5p, 0, 0
hsa-miR-301b-3p, 0, 53.4524332735458
hsa-miR-301b-5p, 0, 0
hsa-miR-302a-3p, 0, 0
hsa-miR-302a-5p, 0, 0
hsa-miR-302b-3p, 0, 0
hsa-miR-302b-5p, 0, 0
hsa-miR-302c-3p, 0, 0
hsa-miR-302c-5p, 0, 0
hsa-miR-302d-3p, 0, 0
hsa-miR-302d-5p, 0, 0
hsa-miR-302e, 0, 0
hsa-miR-302f, 0, 0
hsa-miR-3064-3p, 0, 0
hsa-miR-3064-5p, 0, 0
hsa-miR-30a-3p, 0, 647.368358535166
hsa-miR-30a-5p, 56.3094768849597, 14313.373798805
hsa-miR-30b-3p, 0, 0
hsa-miR-30b-5p/30c-5p, 2146.79880623909, 1413.51990212266
hsa-miR-30c-1-3p, 28.1547384424799, 26.7262166367729
hsa-miR-30c-2-3p, 0, 35.6349555156972
hsa-miR-30d-3p, 21.1160538318599, 38.6045351420053
hsa-miR-30d-5p, 6144.77166507123, 4469.21733759369
hsa-miR-30e-3p, 394.166338194718, 374.167032914821
hsa-miR-30e-5p, 4898.9244889915, 3230.90263342321
hsa-miR-31-3p, 0, 29.695796263081
hsa-miR-31-5p, 0, 3123.99776687612
hsa-miR-3115, 0, 0
hsa-miR-3116, 0, 0
hsa-miR-3117-3p, 0, 44.5436943946215
hsa-miR-3117-5p, 0, 0
hsa-miR-3118, 0, 0
hsa-miR-3119, 0, 0
hsa-miR-3120-3p, 0, 0
